<WFATester Graph 1.00 4,0.000,60.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  2105,4,0,12,5,t,1,12,5,f,2,12,5,f,5,12,5,f>
        Temps,        CO2%,        Flow,         O2%
   00:007.640,     5.23076,     0.00000,    14.81938
   00:007.660,     5.23546,     0.00000,    14.80215
   00:007.680,     5.24083,     0.00000,    14.79067
   00:007.700,     5.24536,    -0.09994,    14.78493
   00:007.720,     5.25132,    -0.11161,    14.78493
   00:007.740,     5.25845,    -0.10648,    14.78493
   00:007.760,     5.26048,     0.00000,    14.76197
   00:007.780,     5.26043,     0.00000,    14.75049
   00:007.800,     5.26409,     0.00000,    14.75049
   00:007.820,     5.26797,     0.00000,    14.75049
   00:007.840,     5.26777,     0.00000,    14.73901
   00:007.860,     5.26637,     0.00000,    14.73901
   00:007.880,     5.26503,    -0.12099,    14.72752
   00:007.900,     5.26307,    -0.12727,    14.73901
   00:007.920,     5.26152,    -0.13135,    14.75049
   00:007.940,     5.25990,    -0.13389,    14.73901
   00:007.960,     5.25321,    -0.14768,    14.75049
   00:007.980,     5.23553,    -0.17002,    14.73901
   00:008.000,     5.20787,    -0.18589,    14.76771
   00:008.020,     5.17297,    -0.19152,    14.78493
   00:008.040,     5.11219,    -0.19153,    14.83086
   00:008.060,     4.96622,    -0.19237,    14.87678
   00:008.080,     4.69168,    -0.19287,    14.96863
   00:008.100,     4.33444,    -0.19556,    15.19826
   00:008.120,     4.00905,    -0.20151,    15.57715
   00:008.140,     3.78764,    -0.20885,    15.99049
   00:008.160,     3.66962,    -0.21349,    16.34641
   00:008.180,     3.62062,    -0.21538,    16.56456
   00:008.200,     3.63212,    -0.21922,    16.66789
   00:008.220,     3.70497,    -0.22197,    16.67363
   00:008.240,     3.81381,    -0.22443,    16.60474
   00:008.260,     3.87499,    -0.22827,    16.48419
   00:008.280,     3.69787,    -0.22817,    16.35215
   00:008.300,     3.17055,    -0.22734,    16.39808
   00:008.320,     2.50354,    -0.23068,    16.88604
   00:008.340,     1.97705,    -0.24044,    17.67826
   00:008.360,     1.64711,    -0.25083,    18.45900
   00:008.380,     1.46214,    -0.25619,    18.97567
   00:008.400,     1.44360,    -0.25812,    19.25696
   00:008.420,     1.61880,    -0.25495,    19.33159
   00:008.440,     1.82797,    -0.25119,    19.17659
   00:008.460,     1.86610,    -0.24579,    18.87233
   00:008.480,     1.76786,    -0.23917,    18.69437
   00:008.500,     1.62152,    -0.23834,    18.75752
   00:008.520,     1.40777,    -0.24258,    18.94122
   00:008.540,     1.12168,    -0.24328,    19.19381
   00:008.560,     0.83648,    -0.23686,    19.51529
   00:008.580,     0.62637,    -0.23135,    19.88270
   00:008.600,     0.50502,    -0.22186,    20.15826
   00:008.620,     0.44592,    -0.19936,    20.36492
   00:008.640,     0.40517,    -0.17268,    20.44529
   00:008.660,     0.35778,    -0.15929,    20.46826
   00:008.680,     0.31097,    -0.16982,    20.50270
   00:008.700,     0.27482,    -0.19161,    20.55437
   00:008.720,     0.24510,    -0.20794,    20.58307
   00:008.740,     0.21989,    -0.21181,    20.61752
   00:008.760,     0.21249,    -0.20812,    20.62900
   00:008.780,     0.22278,    -0.20043,    20.64622
   00:008.800,     0.22743,    -0.18804,    20.64048
   00:008.820,     0.21802,    -0.17740,    20.62900
   00:008.840,     0.20258,    -0.17263,    20.64048
   00:008.860,     0.18657,    -0.16398,    20.62900
   00:008.880,     0.17102,    -0.14799,    20.62326
   00:008.900,     0.15842,    -0.12955,    20.64048
   00:008.920,     0.14993,    -0.11279,    20.66344
   00:008.940,     0.14300,    -0.10064,    20.66344
   00:008.960,     0.13527,    -0.09666,    20.66344
   00:008.980,     0.12855,    -0.10464,    20.66344
   00:009.000,     0.12399,    -0.11443,    20.67492
   00:009.020,     0.11999,    -0.11502,    20.67492
   00:009.040,     0.11647,    -0.11428,    20.66918
   00:009.060,     0.11134,    -0.11869,    20.68640
   00:009.080,     0.10284,    -0.12365,    20.68640
   00:009.100,     0.09634,    -0.12616,    20.68640
   00:009.120,     0.09389,    -0.13533,    20.70937
   00:009.140,     0.09178,    -0.14290,    20.69214
   00:009.160,     0.09029,    -0.14351,    20.68066
   00:009.180,     0.09016,    -0.13682,    20.70937
   00:009.200,     0.09123,    -0.12716,    20.70937
   00:009.220,     0.09314,    -0.11962,    20.70937
