<WFATester Graph 1.00 4,0.000,60.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  2075,4,0,12,5,t,1,12,5,f,2,12,5,f,5,12,5,f>
        Temps,        CO2%,        Flow,         O2%
   00:005.220,     0.14191,     0.00000,    21.63632
   00:005.240,     0.14331,     0.00000,    21.64254
   00:005.260,     0.14374,     0.00000,    21.64254
   00:005.280,     0.14324,     0.00000,    21.66121
   00:005.300,     0.14344,     0.00000,    21.64876
   00:005.320,     0.14378,     0.00000,    21.65499
   00:005.340,     0.14361,     0.00000,    21.64254
   00:005.360,     0.14266,     0.00000,    21.63632
   00:005.380,     0.14146,     0.00000,    21.65499
   00:005.400,     0.14156,     0.00000,    21.64254
   00:005.420,     0.14269,     0.00000,    21.65499
   00:005.440,     0.14270,     0.00000,    21.64876
   00:005.460,     0.14328,     0.00000,    21.64254
   00:005.480,     0.14450,     0.00000,    21.63632
   00:005.500,     0.14429,     0.00000,    21.66121
   00:005.520,     0.14253,     0.00000,    21.66121
   00:005.540,     0.14178,     0.00000,    21.64254
   00:005.560,     0.14261,     0.00000,    21.64254
   00:005.580,     0.14349,     0.00000,    21.63632
   00:005.600,     0.14267,     0.00000,    21.65499
   00:005.620,     0.14109,     0.00000,    21.64254
   00:005.640,     0.14153,     0.00000,    21.65499
   00:005.660,     0.14301,     0.00000,    21.63632
   00:005.680,     0.14338,     0.00000,    21.63010
   00:005.700,     0.14295,     0.00000,    21.63010
   00:005.720,     0.14308,     0.00000,    21.64254
   00:005.740,     0.14258,     0.00000,    21.65499
   00:005.760,     0.14216,     0.00000,    21.64254
   00:005.780,     0.14158,     0.00000,    21.63010
   00:005.800,     0.14195,     0.00000,    21.65499
   00:005.820,     0.14227,     0.00000,    21.64254
   00:005.840,     0.14195,     0.00000,    21.63010
   00:005.860,     0.14310,     0.00000,    21.63632
   00:005.880,     0.14251,     0.00000,    21.65499
   00:005.900,     0.14076,     0.00000,    21.63632
   00:005.920,     0.14200,     0.11032,    21.63632
   00:005.940,     0.14377,     0.13782,    21.63010
   00:005.960,     0.14409,     0.17791,    21.64254
   00:005.980,     0.14317,     0.20900,    21.65499
   00:006.000,     0.14285,     0.21861,    21.63632
   00:006.020,     0.14221,     0.21715,    21.63010
   00:006.040,     0.14174,     0.20712,    21.65499
   00:006.060,     0.14201,     0.20099,    21.65499
   00:006.080,     0.14278,     0.20665,    21.64876
   00:006.100,     0.14308,     0.20445,    21.64254
   00:006.120,     0.14269,     0.18079,    21.65499
   00:006.140,     0.14194,     0.14992,    21.65499
   00:006.160,     0.14217,     0.14304,    21.65499
   00:006.180,     0.14180,     0.16129,    21.66121
   00:006.200,     0.14315,     0.17278,    21.63632
   00:006.220,     0.14296,     0.14877,    21.64254
   00:006.240,     0.14221,     0.11241,    21.65499
   00:006.260,     0.14238,     0.10319,    21.64876
   00:006.280,     0.14324,     0.11492,    21.65499
   00:006.300,     0.14295,     0.12511,    21.64254
   00:006.320,     0.14258,     0.12566,    21.64254
   00:006.340,     0.14289,     0.10879,    21.64876
   00:006.360,     0.14317,     0.08589,    21.64254
   00:006.380,     0.14306,     0.00000,    21.66121
   00:006.400,     0.14285,     0.00000,    21.64254
   00:006.420,     0.14277,     0.00000,    21.64254
   00:006.440,     0.14360,     0.00000,    21.64254
   00:006.460,     0.14446,     0.00000,    21.66121
   00:006.480,     0.14405,     0.00000,    21.63632
   00:006.500,     0.14231,     0.00000,    21.64876
   00:006.520,     0.14272,     0.00000,    21.63632
   00:006.540,     0.14279,    -0.10267,    21.65499
   00:006.560,     0.14310,    -0.09406,    21.64254
   00:006.580,     0.14421,    -0.08597,    21.64254
   00:006.600,     0.14328,    -0.08167,    21.64254
   00:006.620,     0.14210,     0.00000,    21.65499
   00:006.640,     0.14218,     0.00000,    21.64254
   00:006.660,     0.14173,     0.00000,    21.64876
   00:006.680,     0.14256,     0.00000,    21.65499
   00:006.700,     0.14333,     0.00000,    21.64254
   00:006.720,     0.14276,     0.00000,    21.64876
   00:006.740,     0.14271,     0.00000,    21.65499
   00:006.760,     0.14251,     0.00000,    21.65499
   00:006.780,     0.14207,     0.00000,    21.67988
   00:006.800,     0.14144,     0.00000,    21.65499
   00:006.820,     0.14115,     0.00000,    21.63632
   00:006.840,     0.14234,     0.00000,    21.64876
   00:006.860,     0.14336,     0.00000,    21.64876
   00:006.880,     0.14249,     0.00000,    21.66121
   00:006.900,     0.13994,     0.00000,    21.64254
   00:006.920,     0.13981,     0.00000,    21.64876
   00:006.940,     0.14161,     0.00000,    21.66121
   00:006.960,     0.14245,     0.00000,    21.65499
   00:006.980,     0.14221,     0.00000,    21.64254
   00:007.000,     0.14237,     0.00000,    21.66121
   00:007.020,     0.14262,     0.00000,    21.64254
   00:007.040,     0.14347,     0.00000,    21.64876
   00:007.060,     0.14410,     0.00000,    21.65499
   00:007.080,     0.14389,     0.00000,    21.64876
   00:007.100,     0.14281,    -0.08423,    21.66121
   00:007.120,     0.14291,    -0.09669,    21.64254
   00:007.140,     0.14471,    -0.09810,    21.66121
   00:007.160,     0.14363,    -0.09156,    21.64876
   00:007.180,     0.14158,    -0.09018,    21.64254
   00:007.200,     0.14191,    -0.07901,    21.66743
   00:007.220,     0.14206,     0.00000,    21.65499
   00:007.240,     0.14190,     0.00000,    21.63632
   00:007.260,     0.14279,     0.00000,    21.64254
   00:007.280,     0.14311,     0.00000,    21.67988
   00:007.300,     0.14390,     0.00000,    21.65499
   00:007.320,     0.14386,     0.00000,    21.64254
   00:007.340,     0.14359,     0.00000,    21.64876
   00:007.360,     0.14306,     0.00000,    21.65499
   00:007.380,     0.14415,     0.00000,    21.65499
   00:007.400,     0.14400,     0.00000,    21.65499
   00:007.420,     0.14414,     0.00000,    21.65499
   00:007.440,     0.14462,     0.00000,    21.64876
   00:007.460,     0.14410,     0.00000,    21.63632
   00:007.480,     0.14391,     0.00000,    21.64254
   00:007.500,     0.14392,     0.00000,    21.64876
   00:007.520,     0.14447,     0.00000,    21.66121
   00:007.540,     0.14412,     0.00000,    21.65499
   00:007.560,     0.14319,     0.00000,    21.65499
   00:007.580,     0.14388,     0.00000,    21.64254
   00:007.600,     0.14373,     0.00000,    21.65499
   00:007.620,     0.14218,     0.00000,    21.65499
   00:007.640,     0.14099,     0.00000,    21.65499
   00:007.660,     0.14132,     0.00000,    21.64254
   00:007.680,     0.14204,     0.00000,    21.66121
   00:007.700,     0.14348,     0.00000,    21.66121
   00:007.720,     0.14359,     0.00000,    21.63632
   00:007.740,     0.14177,     0.00000,    21.64876
   00:007.760,     0.14097,     0.00000,    21.65499
   00:007.780,     0.14155,     0.00000,    21.65499
   00:007.800,     0.14162,     0.00000,    21.65499
   00:007.820,     0.14258,     0.00000,    21.65499
   00:007.840,     0.14288,     0.00000,    21.65499
   00:007.860,     0.14299,     0.00000,    21.64254
   00:007.880,     0.14366,     0.00000,    21.64254
   00:007.900,     0.14427,     0.00000,    21.65499
   00:007.920,     0.14397,     0.00000,    21.64254
   00:007.940,     0.14385,     0.00000,    21.65499
   00:007.960,     0.14282,     0.00000,    21.65499
   00:007.980,     0.14287,     0.00000,    21.64254
   00:008.000,     0.14347,     0.08974,    21.64254
   00:008.020,     0.14216,     0.15098,    21.65499
   00:008.040,     0.14151,     0.17947,    21.65499
   00:008.060,     0.14252,     0.17687,    21.64254
   00:008.080,     0.14372,     0.16228,    21.66743
   00:008.100,     0.14311,     0.16473,    21.64876
   00:008.120,     0.14213,     0.17834,    21.65499
   00:008.140,     0.14285,     0.16946,    21.66121
   00:008.160,     0.14390,     0.14668,    21.65499
   00:008.180,     0.14356,     0.14866,    21.64254
   00:008.200,     0.14345,     0.19014,    21.64876
   00:008.220,     0.14381,     0.21447,    21.65499
   00:008.240,     0.14408,     0.16750,    21.64876
   00:008.260,     0.14387,     0.08011,    21.64254
   00:008.280,     0.14211,     0.00000,    21.65499
   00:008.300,     0.14328,     0.00000,    21.64876
   00:008.320,     0.14555,    -0.15606,    21.64876
   00:008.340,     0.14522,    -0.16455,    21.64254
   00:008.360,     0.14393,    -0.09605,    21.66743
   00:008.380,     0.14323,     0.00000,    21.65499
   00:008.400,     0.14291,     0.00000,    21.64254
   00:008.420,     0.14245,     0.00000,    21.66121
   00:008.440,     0.14273,    -0.17200,    21.65499
   00:008.460,     0.14428,    -0.17392,    21.65499
   00:008.480,     0.14482,    -0.19080,    21.65499
   00:008.500,     0.14379,    -0.18904,    21.64876
   00:008.520,     0.14255,    -0.14965,    21.64254
   00:008.540,     0.14287,    -0.12153,    21.65499
   00:008.560,     0.14347,    -0.16806,    21.65499
   00:008.580,     0.14366,    -0.24054,    21.64876
   00:008.600,     0.14428,    -0.29113,    21.64254
   00:008.620,     0.14614,    -0.30593,    21.65499
   00:008.640,     0.14938,    -0.29782,    21.65499
   00:008.660,     0.15407,    -0.28307,    21.65499
   00:008.680,     0.16948,    -0.28331,    21.65499
   00:008.700,     0.21267,    -0.30672,    21.63010
   00:008.720,     0.29529,    -0.35536,    21.56164
   00:008.740,     0.40341,    -0.40667,    21.49319
   00:008.760,     0.49342,    -0.45794,    21.39362
   00:008.780,     0.51778,    -0.51225,    21.33139
   00:008.800,     0.48841,    -0.54510,    21.35006
   00:008.820,     0.45047,    -0.53668,    21.36873
   00:008.840,     0.42337,    -0.51576,    21.39362
   00:008.860,     0.41056,    -0.50367,    21.43096
   00:008.880,     0.40263,    -0.49518,    21.43096
   00:008.900,     0.38703,    -0.49193,    21.44341
   00:008.920,     0.35732,    -0.49702,    21.45585
   00:008.940,     0.32138,    -0.51057,    21.49319
   00:008.960,     0.28649,    -0.52746,    21.51808
   00:008.980,     0.25173,    -0.53372,    21.56164
   00:009.000,     0.22025,    -0.52423,    21.58653
   00:009.020,     0.19606,    -0.52456,    21.59276
   00:009.040,     0.17955,    -0.56012,    21.60520
   00:009.060,     0.16896,    -0.61458,    21.63010
   00:009.080,     0.16097,    -0.65225,    21.63010
   00:009.100,     0.15543,    -0.66269,    21.63010
   00:009.120,     0.15274,    -0.64917,    21.64254
   00:009.140,     0.14861,    -0.61653,    21.63632
   00:009.160,     0.14686,    -0.57130,    21.63632
   00:009.180,     0.14710,    -0.52221,    21.64254
   00:009.200,     0.14624,    -0.46161,    21.63632
   00:009.220,     0.14544,    -0.37741,    21.64254
   00:009.240,     0.14525,    -0.29101,    21.63010
   00:009.260,     0.14408,    -0.22192,    21.64254
   00:009.280,     0.14371,    -0.17354,    21.64876
   00:009.300,     0.14363,    -0.14310,    21.64254
   00:009.320,     0.14334,    -0.11847,    21.64254
   00:009.340,     0.14179,    -0.09044,    21.65499
   00:009.360,     0.14041,    -0.07845,    21.65499
   00:009.380,     0.14126,    -0.09261,    21.63010
   00:009.400,     0.14300,    -0.11391,    21.63010
   00:009.420,     0.14351,    -0.12095,    21.65499
   00:009.440,     0.14216,    -0.11019,    21.64254
   00:009.460,     0.14070,    -0.11118,    21.63010
   00:009.480,     0.14035,    -0.15355,    21.64876
   00:009.500,     0.14235,    -0.21637,    21.65499
   00:009.520,     0.14330,    -0.25308,    21.65499
   00:009.540,     0.14221,    -0.24690,    21.64254
   00:009.560,     0.14314,    -0.23532,    21.64254
   00:009.580,     0.14277,    -0.27682,    21.63632
   00:009.600,     0.14231,    -0.36894,    21.64254
   00:009.620,     0.14221,    -0.44930,    21.63010
   00:009.640,     0.14141,    -0.49271,    21.65499
   00:009.660,     0.14077,    -0.51808,    21.64876
